company,platform,followers,posts,Last Post View,Last Post Like,last_post_comments,engagement_rate,
Aspen Kay Naturals,YouTube,108 ,134 ,396 ,3 ,0 ,3694.44%,
Avera,Instagram,"49,999 ",883 ,108 ,5 ,0 ,2.26%,
Avera,TikTok,"79,100 ",245 ,"1,000,000 ",,122 ,12642.23%,
Avera,YouTube,"4,700 ",264 ,154 ,2 ,0 ,33.19%,
BBSPro,TikTok,31 ,41 ,796 ,,0 ,25677.42%,
CanaimaShop,YouTube,0 ,5 ,9 ,1 ,0 ,0.00%,
CanaimaShop,Instagram,751 ,31 ,46 ,19 ,1 ,86.55%,
Comercial SEMARI,Instagram,180 ,16 ,,5 ,0 ,27.78%,
Costway,YouTube,"15,600 ","2,747 ",277 ,0 ,0 ,17.76%,
Costway,Instagram,"26,308 ","2,774 ",81 ,6 ,1 ,3.31%,
Costway,TikTok,"36,900 ",380 ,872 ,,1 ,23.63%,
Crandall Office Furniture,Instagram,"1,286 ","1,966 ",,3 ,0 ,2.33%,
Crandall Office Furniture,TikTok,808 ,141 ,377 ,,0 ,466.58%,
Crandall Office Furniture,YouTube,"8,410 ",492 ,8 ,1 ,0 ,1.07%,
Day Designer,TikTok,"3,218 ",206 ,699 ,,1 ,217.22%,
Day Designer,YouTube,486 ,16 ,923 ,15 ,1 ,1930.04%,
Day Designer,Instagram,"155,565 ","6,349 ",,108 ,0 ,0.69%,
Dom Dom,YouTube,"4,590 ",53 ,"2,202 ",42 ,1 ,488.89%,
Dom Dom,TikTok,"90,200 ",213 ,"3,400,000 ",,486 ,37694.01%,
Dom Dom,Instagram,"110,221 ",317 ,,405 ,28 ,3.67%,
Farmapiel,Instagram,"30,646 ","1,084 ",157 ,2 ,0 ,5.19%,
Farmapiel,TikTok,"12,300 ",168 ,263 ,,0 ,21.38%,
Farmapiel,YouTube,437 ,68 ,102 ,0 ,0 ,233.41%,
Hold n’ Storage,TikTok,1 ,1 ,1 ,,0 ,1000.00%,
Hold n’ Storage,Instagram,14 ,7 ,,1 ,0 ,71.43%,
Hold n’ Storage,YouTube,2 ,2 ,5 ,0 ,1 ,2500.00%,
Holista,Instagram,"98,430 ",112 ,,37 ,7 ,0.38%,
Holista,TikTok,"9,793 ",66 ,"57,200 ",,2 ,5840.91%,
Holista,YouTube,579 ,37 ,"1,052 ",8 ,0 ,1830.74%,
IMPRESSIONS VANITY · COMPANY,TikTok,"117,800 ",955 ,"40,500 ",,30 ,343.80%,
IMPRESSIONS VANITY · COMPANY,Instagram,"818,320 ","5,699 ",,273 ,2 ,0.33%,
IMPRESSIONS VANITY · COMPANY,YouTube,"3,000 ",309 ,"3,090 ",17 ,2 ,1035.67%,
Karseell,TikTok,"1,500,000 ",902 ,"22,800,000 ",,"2,470 ",15200.00%,
Karseell,YouTube,"1,210,000 ","3,100 ","10,359 ",67 ,0 ,8.62%,
Karseell,Instagram,"328,322 ","1,421 ","14,234 ",112 ,1 ,43.69%,
Le Mieux Cosmetics,TikTok,"4,420 ",544 ,250 ,,0 ,56.56%,
Le Mieux Cosmetics,YouTube,"2,180 ",154 ,287 ,8 ,0 ,135.32%,
Le Mieux Cosmetics,Instagram,"55,290 ",934 ,605 ,85 ,4 ,12.48%,
Maivie,YouTube,11 ,10 ,259 ,0 ,0 ,23545.45%,
Maivie,Instagram,"39,256 ",491 ,659 ,21 ,0 ,17.32%,
Midea Building Tech.,YouTube,"34,500 ",164 ,5 ,0 ,0 ,0.14%,
Midea Building Tech.,Instagram,60 ,0 ,,,,0.00%,
Midea Building Tech.,TikTok,"391,000 ",119 ,446 ,,1 ,1.14%,
Mix Wholesale,Instagram,191 ,38 ,28 ,8 ,2 ,188.48%,
Mix Wholesale,YouTube,6 ,5 ,334 ,2 ,1 ,56000.00%,
NewAge Products Inc.,TikTok,590 ,6 ,"664,100 ",,29 ,1125593.22%,
NewAge Products Inc.,Instagram,"48,208 ",98 ,244 ,16 ,5 ,5.39%,
NewAge Products Inc.,YouTube,"2,530 ",241 ,989 ,6 ,4 ,393.28%,
Oh My Shop!,TikTok,"1,982 ",148 ,165 ,,0 ,83.25%,
Oh My Shop!,YouTube,243 ,466 ,27 ,0 ,0 ,111.11%,
Oh My Shop!,Instagram,"61,008 ",781 ,337 ,5 ,0 ,5.61%,
Ornavo Home,Instagram,84 ,17 ,,8 ,1 ,95.24%,
Ornavo Home,YouTube,1 ,2 ,128 ,0 ,0 ,128000.00%,
Sanitas Skincare,Instagram,"21,705 ",793 ,,10 ,1 ,0.46%,
Sanitas Skincare,TikTok,940 ,63 ,371 ,,0 ,394.68%,
Sanitas Skincare,YouTube,32 ,11 ,429 ,0 ,0 ,13406.25%,
Sauce Beauty,Instagram,"6,201 ",981 ,100 ,14 ,0 ,18.38%,
Sauce Beauty,TikTok,"3,253 ",219 ,"46,200 ",,6 ,14202.27%,
Sorella Apothecary,Instagram,"45,558 ","1,627 ",318 ,43 ,1 ,7.92%,
Sorella Apothecary,TikTok,"1,247 ",94 ,147 ,,0 ,117.88%,
Sorella Apothecary,YouTube,35 ,48 ,3 ,0 ,0 ,85.71%,
Summer Fridays,Instagram,"1,405,657 ","2,795 ",,"1,012 ",6 ,0.72%,
Summer Fridays,TikTok,"826,900 ","2,046 ","2,179 ",,11 ,2.64%,
Summer Fridays,YouTube,"11,300 ",9 ,"3,807 ",137 ,83 ,349.03%,
Super Area Rugs,Instagram,"1,936 ",267 ,,4 ,1 ,2.07%,
Super Area Rugs,YouTube,23 ,38 ,19 ,0 ,0 ,826.09%,
SUTRA,Instagram,"74,583 ","3,953 ",,9 ,0 ,0.12%,
SUTRA,YouTube,"3,400 ",112 ,726 ,7 ,3 ,215.59%,
SUTRA,TikTok,"5,703 ",649 ,454 ,,4 ,79.61%,
Three Ships,Instagram,"96,392 ","2,798 ",,260 ,28 ,2.70%,
Three Ships,YouTube,"3,270 ",74 ,427 ,14 ,0 ,134.86%,
Three Ships,TikTok,"8,638 ",866 ,194 ,,1 ,22.46%,
,,,,,,,,
,,,,,,,,
,,,,,,,,Go to Dashboard ->
